country_code,country_name,year,internet_usage_pct,gdp_usd,wiki_country_original,avg_connection_speed_mbit,pipeline_processed_at
ARG,Argentina,2000,7.0386830862178,284203750000.0,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2001,9.78080728532407,268696750000.0,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2002,10.8821243775325,97724004251.8602,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2003,11.9136965509954,127586973492.177,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2004,16.0366841054923,164657930452.787,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2005,17.7205833696065,198737095012.282,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2006,20.9272021035896,232557260817.308,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2007,25.9466329403819,287530508430.568,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2008,28.1126234799907,361558037110.419,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2009,34.0,332976484577.619,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2010,45.0,423627422092.49,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2011,51.0,530158122010.442,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2012,55.79999924,545982375701.128,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2013,59.90000153,552025140252.246,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2014,64.69999695,526319673731.638,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2015,68.0430641088122,594749285413.212,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2016,70.9689808206024,557532320662.955,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2017,74.2949068657957,643628393281.364,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2018,77.7,524819892360.176,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2019,79.9469520347551,447754683615.225,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2020,85.51438646,385740508436.965,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2021,87.15070683,486564085480.036,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2022,88.37535691,633993756301.08,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2023,89.22897166,649461687959.174,Argentina,111.54,2026-05-25 15:44:18.479285
ARG,Argentina,2024,89.66715228,638365455340.04,Argentina,111.54,2026-05-25 15:44:18.479285
AUS,Australia,2000,46.7561156116738,416901962163.479,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2001,52.6892664310395,380360222861.197,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2005,63.0,696811489612.816,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2006,66.0,749708370332.989,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2007,69.45,856603595823.192,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2008,71.67,1058448244063.77,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2009,74.25,931761689770.843,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2010,76.0,1152566632022.13,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2011,79.4876977139029,1402939868653.4,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2012,79.0,1552728401401.58,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2013,83.453497167,1583737461925.39,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2014,84.0,1474677007565.64,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2015,84.5605149091408,1356805839935.9,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2016,86.54000092,1211588128417.61,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2017,86.5450488476768,1330890554614.09,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2018,90.0082016,1433144978761.67,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2019,93.60990143,1398349602956.35,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2020,94.6934967,1333336461648.09,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2021,96.97219849,1560617493202.69,Australia,154.09,2026-05-25 15:44:18.479285
AUS,Australia,2022,96.11940002,1695627535475.8,Australia,154.09,2026-05-25 15:44:18.479285
